u_rate
7.2
7.6
9.7
9.6
7.5
7.2
7
6.2
5.5
5.3
5.6
6.9
7.5
6.9
6.1
5.6
5.4
4.9
4.5
4.2
4
4.7
5.8
6
5.5
5.1
4.6
4.6
5.8
9.3
9.6
8.9
8.1
7.4
6.2
